Year;Region;regiao;LU;LU_br;Area;Ind
2019;Southeast;Sudeste;water body;Superfície aquática;846647;0.009580551
2019;Southeast;Sudeste;Other;Outros;9723;0.000110024
2015;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7538743;0.488189984
2015;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;44384696;2.874240978
2015;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16458533;1.06581309
2015;Midweast;Centro Oeste;Build;Urbano;291738;0.018892217
2015;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;2586315;0.167483237
2015;Midweast;Centro Oeste;Forest;Florestas;65573224;4.246356615
2015;Midweast;Centro Oeste;water body;Superfície aquática;793825;0.051406105
2015;Midweast;Centro Oeste;Other;Outros;514426;0.03331293
2016;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7526727;0.480603586
2016;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;44166923;2.820187526
2016;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16530151;1.055498606
2016;Midweast;Centro Oeste;Build;Urbano;292370;0.018668682
2016;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;2830398;0.180729211
2016;Midweast;Centro Oeste;Forest;Florestas;65451983;4.179301012
2016;Midweast;Centro Oeste;water body;Superfície aquática;775397;0.049511372
2016;Midweast;Centro Oeste;Other;Outros;13951;0.000890812
2017;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7481868;0.471271846
2017;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;43867087;2.763123203
2017;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16669123;1.049963508
2017;Midweast;Centro Oeste;Build;Urbano;293165;0.018466032
2017;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;3196180;0.201322671
2017;Midweast;Centro Oeste;Forest;Florestas;65274762;4.111561122
2017;Midweast;Centro Oeste;water body;Superfície aquática;776734;0.048925331
2017;Midweast;Centro Oeste;Other;Outros;25881;0.001630206
2018;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7455565;0.463484912
2018;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;43488504;2.703519514
2018;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16909630;1.051209181
2018;Midweast;Centro Oeste;Build;Urbano;293991;0.018276334
2018;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;3478661;0.216255494
2018;Midweast;Centro Oeste;Forest;Florestas;65150228;4.050148811
2018;Midweast;Centro Oeste;water body;Superfície aquática;796561;0.049519252
2018;Midweast;Centro Oeste;Other;Outros;10460;0.00065026
2019;Midweast;Centro Oeste;Shrubs;Vegetação arbustiva ;7425883;0.455657439
2019;Midweast;Centro Oeste;Herbaceus Vegetation ;Vegetação herbácea;43389932;2.66243695
2019;Midweast;Centro Oeste;Cropland;Agricultua e Pecuaria ;16934957;1.039140953
2019;Midweast;Centro Oeste;Build;Urbano;294807;0.018089566
2019;Midweast;Centro Oeste;Herbaceus Wet;Vegetação umida;3607253;0.221343598
2019;Midweast;Centro Oeste;Forest;Florestas;65127541;3.99627203
2019;Midweast;Centro Oeste;water body;Superfície aquática;793825;0.048709664
2019;Midweast;Centro Oeste;Other;Outros;9302;0.000570777
2015;Northeast;Nordeste;Shrubs;Vegetação arbustiva ;52353211;0.925621217
2015;Northeast;Nordeste;Herbaceus Vegetation ;Vegetação herbácea;26008706;0.459842093
2015;Northeast;Nordeste;Cropland;Agricultua e Pecuaria ;8014702;0.141702449
2015;Northeast;Nordeste;Build;Urbano;492362;0.008705115
2015;Northeast;Nordeste;Herbaceus Wet;Vegetação umida;573355;0.010137097
2015;Northeast;Nordeste;Forest;Florestas;41198866;0.728408893
2015;Northeast;Nordeste;water body;Superfície aquática;596047;0.010538298
2015;Northeast;Nordeste;Other;Outros;2269351;0.040122839
2016;Northeast;Nordeste;Shrubs;Vegetação arbustiva ;52276979;0.918494585
2016;Northeast;Nordeste;Herbaceus Vegetation ;Vegetação herbácea;25949116;0.455920043
2016;Northeast;Nordeste;Cropland;Agricultua e Pecuaria ;8060334;0.141618228
2016;Northeast;Nordeste;Build;Urbano;495320;0.008702659
2016;Northeast;Nordeste;Herbaceus Wet;Vegetação umida;725938;0.012754565
2016;Northeast;Nordeste;Forest;Florestas;41159941;0.723170765
2016;Northeast;Nordeste;water body;Superfície aquática;567401;0.009969106
2016;Northeast;Nordeste;Other;Outros;163571;0.002873905
2017;Northeast;Nordeste;Shrubs;Vegetação arbustiva ;52119189;0.910312716
2017;Northeast;Nordeste;Herbaceus Vegetation ;Vegetação herbácea;25898213;0.452337672
2017;Northeast;Nordeste;Cropland;Agricultua e Pecuaria ;8169629;0.142690577
2017;Northeast;Nordeste;Build;Urbano;496817;0.008677396
2017;Northeast;Nordeste;Herbaceus Wet;Vegetação umida;879610;0.015363251
